date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/09	A	H10	239	pho2∆	5118	335334	2634.5	6698.8	4848.200000000001	11489	pass
02/09	A	H11	239	pho2∆	4985	336186	2488.5	6288.3	4503.1	10642	pass
02/09	A	H12	239	pho2∆	4988	329484	2772.5	6758.3	5180.200000000001	11761.199999999999	pass
02/10	A	A1	194	PHO2	4968	418222.5	1366.5	20854.8	1792	27555.1	fail
02/10	A	A2	211	PHO2	5228	527256	2489.5	50679.3	2057.6	47765.5	fail
02/10	A	A3	211	PHO2	5186	503482.5	1842.5	44812.8	1583.5	44636.3	fail
02/10	A	A4	211	PHO2	3193	506785	2037.5	41873.3	1732.5	41694.9	fail
02/10	A	A5	194	PHO2	4975	404114	1121.5	20062.3	1572.4	27726.6	fail
02/10	A	A6	220	PHO2	5424	374680	415	1928.3	694.1000000000001	2820.9	fail
02/10	A	A7	220	PHO2	5143	369040	920.5	3892.3	1541.2000000000003	6095.1	fail
02/10	A	A8	220	PHO2	5115	387556	1188.5	4256.3	1780.6	6187.6	fail
02/10	A	A9	194	PHO2	5134	394769	1035.5	20064.3	1473.3000000000002	27524.1	fail
02/10	A	A10	222	PHO2	5303	417228	621.5	25254.3	802.2	33408	fail
02/10	A	A11	222	PHO2	5180	404897.5	568	25113.8	813.7	34952.9	fail
02/10	A	A12	222	PHO2	5177	449162	792.5	32960.3	837.3000000000002	39652.100000000006	fail
02/10	A	B2	211	pho2∆	4989	441868	4084.5	19492.3	4843.5	23703.6	fail
02/10	A	B3	211	pho2∆	5272	430794.5	3846.5	18076.8	4887	23287.6	fail
02/10	A	B4	211	pho2∆	5299	411393	3273.5	17556.3	4465.6	23680.399999999998	fail
02/10	A	B6	220	pho2∆	5120	404774	767	2120.8	1014.0999999999999	2842.6000000000004	fail
02/10	A	B7	220	pho2∆	5444	373577	931.5	3028.8	1538.6	4783.2	fail
02/10	A	B8	220	pho2∆	5349	403754	955.5	2362.3	1253.6	3171.5	fail
02/10	A	B10	222	pho2∆	5062	399387	1722	5951.8	2656.5	8820.699999999999	fail
02/10	A	B11	222	pho2∆	5095	382306	1782.5	5830.3	2768.2000000000003	8649.9	fail
02/10	A	B12	222	pho2∆	5032	379054	2181	6242.3	3484.6	9640.099999999999	fail
02/10	A	C1	194	PHO2	5075	421992	1414.5	21451.3	1809.1	27800.399999999998	fail
02/10	A	C2	210	PHO2	5296	403337.5	1139	5300.3	1560.8000000000002	6979.4000000000005	fail
02/10	A	C3	210	PHO2	5180	383448.5	1062	5422.3	1558.3000000000002	7516.5	fail
02/10	A	C4	210	PHO2	5138	383721	633.5	5816.8	988.5	8164.000000000001	fail
02/10	A	C5	194	PHO2	5132	405208.5	1137	19251.8	1554.1	26065.3	fail
02/10	A	C6	221	PHO2	5220	397847.5	13.5	665.8	60.40000000000009	906.5	fail
02/10	A	C7	221	PHO2	4538	441996.5	1211	32749.8	1410.4	40629.600000000006	fail
02/10	A	C8	221	PHO2	5262	434774.5	1080.5	31403.8	1301.6	40402.5	fail
02/10	A	C9	194	PHO2	5065	388968	977.5	20039.3	1474	28624.7	fail
02/10	A	C10	227	PHO2	5178	371437.5	2204.5	5705.3	3490.9	8540.199999999999	fail
02/10	A	C11	227	PHO2	5245	392388	1985.5	7385.3	2807.3	10228.8	fail
02/10	A	C12	227	PHO2	5034	367640.5	2692.5	6623.3	4123	9829.3	fail
02/10	A	D1	NA	PHO2	1220	486074	696.5	393.3	456.3000000000002	416.90000000000003	fail
02/10	A	D2	210	pho2∆	5117	423116	1485.5	7021.3	1928.2000000000003	9047.699999999999	fail
02/10	A	D3	210	pho2∆	4868	380766.5	1038.5	6060.3	1640.5	8771.4	fail
02/10	A	D4	210	pho2∆	5174	377757.5	961.5	5715.3	1597.1	8336.5	fail
02/10	A	D6	221	pho2∆	5013	376080	1080.5	5464.3	1754.6	8226.699999999999	fail
02/10	A	D7	221	pho2∆	4996	363586	1028.5	5636.8	1769.1	8556.3	fail
02/10	A	D8	221	pho2∆	4982	360736.5	1142.5	6119.8	1953.5	9082.099999999999	fail
02/10	A	D10	227	pho2∆	5058	414157.5	4133.5	8678.3	5943.6	11988.599999999999	fail
02/10	A	D11	227	pho2∆	5027	369888	3398.5	8825.3	5376.5	13478.099999999999	fail
02/10	A	D12	227	pho2∆	5023	375755	4711.5	9627.3	7382.6	14412.199999999999	fail
02/10	A	E1	194	PHO2	4834	404668	1287.5	19282.3	1781.6	26751.6	fail
02/10	A	E2	217	PHO2	5223	392910	1507.5	8236.3	2239.6	11631.3	fail
02/10	A	E3	217	PHO2	4958	369024.5	1392.5	7884.3	2288.2000000000003	11869.4	fail
