date	plasmid	host	CV_BL1.H	CV_YL2.H	CV_FSC.H	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/09	NA	pho2∆	1.409	0.117	0.028	H5	5215	380341	-4.5	514.3	89.40000000000009	738
02/11	220	PHO2	0.181	0.344	0.058	E10	5278	375096.5	884.5	1918.8	1372.4	2746
02/11	220	PHO2	0.181	0.344	0.058	E11	5084	339640.5	1274.5	3546.3	2415.3	6122.5
02/11	220	PHO2	0.181	0.344	0.058	E12	5297	340459	1157.5	3961.3	2149.1	6737.9000000000005
02/11	220	pho2∆	0.265	0.3	0.04	F10	5246	385229	921.5	2012.8	1354.5	2859.1000000000004
02/11	220	pho2∆	0.265	0.3	0.04	F11	5349	358458	1425.5	3345.3	2523.3	6167
02/11	220	pho2∆	0.265	0.3	0.04	F12	5078	383298	929	2101.3	1372.6	2979.8
02/11	227	PHO2	0.223	0.086	0.011	G2	5151	362658	2612.5	5094.3	4197.5	7910.8
02/11	227	PHO2	0.223	0.086	0.011	G3	5125	355070	1909.5	5379.3	3174.2999999999997	8475.199999999999
02/11	227	PHO2	0.223	0.086	0.011	G4	5105	359022	3018.5	6017.3	4882.200000000001	9332
02/11	NA	pho2∆	0.588	0.157	0.011	B9	5259	384535	84.5	838.3	190.60000000000014	1198.1
02/11	NA	pho2∆	0.588	0.157	0.011	F1	5261	391829	69.5	631.3	158.10000000000014	889.4
02/11	NA	pho2∆	0.588	0.157	0.011	H5	5321	384479	19.5	663.3	123.30000000000018	970.5999999999999
02/16	188	PHO2	0.288	0.205	0.053	C2	4983	406336	1175.5	20234.3	1567.6	26790.5
02/16	188	PHO2	0.288	0.205	0.053	C3	5100	367650.5	661	13445.3	1132.8000000000002	20049.8
02/16	188	PHO2	0.288	0.205	0.053	C4	5019	400500	1132.5	18824.3	1578.5	25812.7
02/16	218	pho2∆	0.207	0.093	0.055	H6	5110	369383.5	2874.5	9472.8	4825.5	14821.199999999999
02/16	218	pho2∆	0.207	0.093	0.055	H7	5140	391740.5	4353.5	11175.8	6281.6	15908.5
02/16	218	pho2∆	0.207	0.093	0.055	H8	4865	350719	3525.5	9631.3	6057.1	15665.199999999999
02/16	220	PHO2	0.283	0.35	0.023	E10	5392	393899	915	1858.8	1262.9	2538.2000000000003
02/16	220	PHO2	0.283	0.35	0.023	E11	5078	382217.5	1626	3741.3	2470.5	5650.4000000000005
02/16	220	PHO2	0.283	0.35	0.023	E12	5204	376581.5	1238	2552.3	1933.6	3947.1000000000004
02/16	220	pho2∆	0.331	0.332	0.017	F10	5379	388260	730.5	1680.3	1114.3000000000002	2361.1000000000004
02/16	220	pho2∆	0.331	0.332	0.017	F11	5242	382867	1254.5	2741.3	1914	4187.9000000000005
02/16	220	pho2∆	0.331	0.332	0.017	F12	5188	375009.5	738	1534.8	1138.1	2224.9
02/16	221	PHO2	0.268	0.125	0.035	G11	3903	448073	1364.5	36408.3	1543.4	43818
02/16	221	PHO2	0.268	0.125	0.035	G12	5098	426439	930	30478.8	1238.7000000000003	40919
02/16	227	PHO2	0.254	0.118	0.011	G2	5154	338600	1528.5	4685.3	2940.3	7952.5
02/16	227	PHO2	0.254	0.118	0.011	G3	5278	344628.5	1618	5892.8	2867.1	9586.599999999999
02/16	227	PHO2	0.254	0.118	0.011	G4	5237	345543	2379.5	5645.3	4026.5000000000005	9034.099999999999
02/16	NA	PHO2	0.64	0.082	0.023	D1	5091	380375	131.5	650.3	292.10000000000014	937.3
02/16	NA	PHO2	0.64	0.082	0.023	F5	4966	363547	42.5	587.8	241.30000000000018	903.8
02/16	NA	PHO2	0.64	0.082	0.023	H9	5159	373906	53.5	554.3	207.5	823.1999999999999
02/16	NA	pho2∆	0.862	0.068	0.037	B9	5350	404013.5	142	810.3	206.60000000000014	1090.1
02/16	NA	pho2∆	0.862	0.068	0.037	F1	5236	385916.5	47	922.3	150.20000000000005	1294.5
02/16	NA	pho2∆	0.862	0.068	0.037	H5	5212	375407	26	836.3	166.9000000000001	1243.7
02/18	230	pho2∆	0.256	0.271	0.02	B2	4999	418167	3628.5	11377.3	4860.299999999999	14725.3
02/18	230	pho2∆	0.256	0.271	0.02	B3	5097	421681	3358.5	10256.3	4527.9	13485.4
02/18	230	pho2∆	0.256	0.271	0.02	B4	5006	405623	2162	6518.8	3112.1	9227
02/18	233	pho2∆	0.54	1.296	0.06	H2	4948	413935.5	4710.5	906.3	5864	1173.6
02/18	233	pho2∆	0.54	1.296	0.06	H3	5178	407518	4790	955.3	6129.299999999999	1287.8999999999999
02/18	233	pho2∆	0.54	1.296	0.06	H4	5102	369971.5	11201	9227.3	17732.2	13920.699999999999
02/18	241	PHO2	0.076	0.251	0.041	C6	4285	510109	2503.5	33521.3	2164.2000000000003	33424.5
02/18	241	PHO2	0.076	0.251	0.041	C7	1524	471464	2728.5	53325.3	2777	60170.9
02/18	241	PHO2	0.076	0.251	0.041	C8	2016	500825.5	2915	37780.3	2596.7000000000003	37697.3
02/18	250	PHO2	0.209	0.224	0.053	E6	5173	401309	3446.5	5311.3	4713.6	7170
02/18	250	PHO2	0.209	0.224	0.053	E7	5216	364877	2294.5	3481.3	3581.6	5216.8
02/18	250	PHO2	0.209	0.224	0.053	E8	5245	368300	2677.5	3938.3	4150.5	5968.8
02/18	252	pho2∆	0.104	0.204	0.007	B10	5476	443563	4504.5	5959.8	5600.799999999999	7277
02/18	252	pho2∆	0.104	0.204	0.007	B11	5574	445457	4488	5837.8	5484.5	7178
02/18	252	pho2∆	0.104	0.204	0.007	B12	3836	439510	5354.5	8254.3	6960.799999999999	10641.5
02/18	NA	PHO2	1.268	0.043	0.013	D1	4963	398016	116.5	667.3	182.20000000000005	910.0999999999999
02/18	NA	PHO2	1.268	0.043	0.013	F5	5372	395219.5	65.5	633.3	137.80000000000018	864.4
02/18	NA	PHO2	1.268	0.043	0.013	H9	5235	388320	-19.5	613.3	54.80000000000018	854.8
02/18	NA	pho2∆	1.033	0.25	0.031	B9	5202	387481.5	49	1145.3	151.30000000000018	1633.2
