date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/23	332	pho2∆	0.157	0.404	0.05	A	F6	5108	372761	1712	7187.3	2665.3	10727.4
02/23	332	pho2∆	0.157	0.404	0.05	A	F7	4990	339080	766.5	5296.3	1498.2000000000003	8714.5
02/23	332	pho2∆	0.157	0.404	0.05	A	F8	4869	347540	1087.5	5925.3	2015.6	9519.4
02/23	NA	PHO2	0.076	0.965	0.041	A	D1	5208	385386	4.5	578.8	85.40000000000009	825.5
02/23	NA	PHO2	0.076	0.965	0.041	A	F5	5116	366016.5	-60.5	570.3	54.90000000000009	865.0999999999999
02/23	NA	PHO2	0.076	0.965	0.041	A	H9	5194	355604.5	-63	502.3	95.60000000000014	785.5
02/23	NA	pho2∆	0.084	0.271	0.006	A	B9	5119	375741	-52.5	802.3	39.200000000000045	1167.6
02/23	NA	pho2∆	0.084	0.271	0.006	A	F1	5156	371948.5	-68.5	680.8	38.200000000000045	1032.2
02/23	NA	pho2∆	0.084	0.271	0.006	A	H5	4985	371230	-90.5	725.3	22.800000000000182	1113.6
03/30	239	PHO2	0.043	0.223	0.061	A	A2	5583	490210	2311.5	44667.3	2070.5	45744.200000000004
03/30	239	PHO2	0.043	0.223	0.061	A	A2	5160	517697	2384	42548.8	1930.5	41572.200000000004
03/30	239	PHO2	0.043	0.223	0.061	A	A3	5300	506907.5	2399.5	44246.3	1992.6	43443.9
03/30	239	PHO2	0.043	0.223	0.061	A	A3	5194	501073	2297	40807.3	1974.4	40235.8
03/30	239	PHO2	0.043	0.223	0.061	A	A4	4985	462122	3051.5	45687.3	3873.0000000000005	57969.8
03/30	239	PHO2	0.043	0.223	0.061	A	A4	4330	439373	3793	45507.8	4854.799999999999	59937.4
03/30	NA	PHO2	0.127	0.283	0.014	A	D1	5196	366059.5	-53.5	710.3	77.70000000000005	1074.5
03/30	NA	PHO2	0.127	0.283	0.014	A	F5	5175	359357	-94.5	553.3	49.200000000000045	871.0999999999999
03/30	NA	PHO2	0.127	0.283	0.014	A	H9	5092	369414	-89.5	610.3	5.600000000000136	927.3
03/31	NA	PHO2	0.207	0.684	0.032	A	D1	5193	352166	-31.5	649.3	158.20000000000005	1044.5
03/31	NA	PHO2	0.207	0.684	0.032	A	F5	5209	342956	-84.5	550.3	114.40000000000009	907.3
03/31	NA	PHO2	0.207	0.684	0.032	A	H9	5200	330622	-154.5	425.3	27.300000000000182	728
03/31	NA	pho2∆	0.166	0.201	0.017	A	B9	4958	341167	-124.5	644.8	67.60000000000014	1065.7
03/31	NA	pho2∆	0.166	0.201	0.017	A	F1	5030	348154	-84	854.3	95.70000000000005	1376.8
03/31	NA	pho2∆	0.166	0.201	0.017	A	H5	5043	352858	-118.5	651.3	1.7000000000000455	1020.8
