date	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
01/26	H11	188	pho2∆	7890	366080.5	508.5	7540.5	831.95	11279.8	pass
01/26	H12	188	pho2∆	7760	367393	535.5	7800	870.95	11769.4	pass
01/29	A1	194	PHO2	8048	407856.5	1483.5	21368.5	1957.2499999999998	29012.8	pass
01/29	A2	440	PHO2	8050	407872	635	15968.5	791.3499999999999	21538.9	pass
01/29	A3	440	PHO2	7132	390413	719.5	16131.5	967.8499999999999	22568.2	pass
01/29	A4	440	PHO2	7949	399298	780.5	17314	1013.95	23860.1	pass
01/29	A5	194	PHO2	7803	396846	1295.5	19977	1737.3500000000001	27990.5	pass
01/29	A6	445	PHO2	8298	365731	1366	1265	2191.75	1911.1	pass
01/29	A7	445	PHO2	7934	366487.5	1030.5	863	1547.2499999999998	1266.7	pass
01/29	A8	445	PHO2	8088	361076.5	1546.5	1311	2602.1499999999996	2027.5	pass
01/29	A9	194	PHO2	7642	379341	1092.5	19332	1590.45	28171.5	pass
01/29	A10	442	PHO2	7957	378035	660.5	12950	964.55	18150.2	pass
01/29	A11	442	PHO2	7378	385777.5	731.5	12007	1016.3499999999999	16577.3	pass
01/29	A12	442	PHO2	7632	371815	633.5	11405	951.3499999999999	16481.9	pass
01/29	B2	440	pho2∆	7985	389999	1332.5	4660	1927.95	6705.1	pass
01/29	B3	440	pho2∆	7785	375557	1320.5	4202	1975.3500000000001	6120.4	pass
01/29	B4	440	pho2∆	7547	406115	1881.5	5022	2681.3500000000004	7560.4	pass
01/29	B6	445	pho2∆	7896	359885.5	705.5	671	1085.35	1005	pass
01/29	B7	445	pho2∆	7918	370125	1129.5	1026	1653.6499999999999	1514.2	pass
01/29	B8	445	pho2∆	8171	370386	1316.5	1280	2121.6499999999996	1950.5	pass
01/29	B9	NA	pho2∆	7657	346132	-23.5	591	104.25	972.7	pass
01/29	B10	442	pho2∆	8464	453536	1047.5	1910	954.25	2057.8	pass
01/29	B11	442	pho2∆	7722	364244.5	1519	2615.5	2648.1499999999996	4523.8	pass
01/29	B12	442	pho2∆	8072	350169	1157.5	2000.5	2163.75	3633.6	pass
01/29	C1	194	PHO2	7870	394515.5	1180.5	18853	1605.45	26433.9	pass
01/29	C2	253	PHO2	8712	432148.5	1193.5	1784	1255.3500000000001	2138.3	pass
01/29	C3	253	PHO2	7932	340062.5	1039.5	2507.5	1809.95	3949.7	pass
01/29	C4	253	PHO2	7902	332061.5	930.5	2447	1739.8500000000001	3975.5	pass
01/29	C5	194	PHO2	7762	392257	1208.5	19321.5	1648.95	27555.7	pass
01/29	C9	194	PHO2	7822	388883	1027.5	18800	1439.55	26737.2	pass
01/29	C10	235	PHO2	7946	330573	1363	2035	2544.3500000000004	3518	pass
01/29	C11	235	PHO2	7921	344962	1451.5	2106	2515.05	3431.8	pass
01/29	C12	235	PHO2	8001	346949	1165.5	1890	1956.7499999999998	2931.6	pass
01/29	D1	NA	PHO2	7871	351768	-15.5	260	99.45000000000005	430.4	pass
01/29	D2	253	pho2∆	7758	345570.5	1545	4483.5	2468.05	6986.7	pass
01/29	D3	253	pho2∆	7051	335295	1762.5	5116	2955.75	8100.6	pass
01/29	D4	253	pho2∆	7975	340891	1258.5	3757	2072.6499999999996	5911.8	pass
01/29	D10	235	pho2∆	7759	323522	1867.5	2848	3771.8500000000004	5375.2	pass
01/29	D11	235	pho2∆	7590	336758	2543.5	3546	4554.45	6020	pass
01/29	D12	235	pho2∆	7701	332348	1695.5	2804	3287.05	5085.1	pass
01/29	E1	194	PHO2	7750	384858.5	986.5	16358	1407.6499999999999	23761.8	pass
01/29	E2	441	PHO2	7977	373999	288.5	11873	456.14999999999986	17409	pass
01/29	E3	441	PHO2	7892	400383	421.5	14751.5	559.45	20425.2	pass
01/29	E4	441	PHO2	7940	390189.5	408.5	15253	582.55	21547.4	pass
01/29	E5	194	PHO2	7738	393398	1175.5	18953	1616.2499999999998	26607	pass
01/29	E9	194	PHO2	7653	390994	918.5	17763	1283.6499999999999	25213	pass
01/29	E10	443	PHO2	7647	358388	986.5	985	1512.05	1527.4	pass
01/29	E11	443	PHO2	7783	376692	1338.5	920	1829.8500000000001	1321.1	pass
01/29	E12	443	PHO2	7855	370460	1154.5	752	1627.1499999999999	1094.2	pass
01/29	F1	NA	pho2∆	7720	354036.5	-24.5	416.5	77.04999999999995	666.2	pass
01/29	F2	441	pho2∆	7934	347908	480.5	977.5	895.95	1527.6	pass
01/29	F3	441	pho2∆	7815	333021	439.5	867	908.55	1438	pass
01/29	F4	441	pho2∆	7937	338005	551.5	1067	1075.45	1733.4	pass
01/29	F5	NA	PHO2	7909	345296	-0.5	338	135.25	566.6	pass
01/29	F6	194	pho2∆	7967	370285	727.5	660	1089.85	962.8	pass
01/29	F7	194	pho2∆	7906	351439	648.5	724.5	1070.6499999999999	1131.2	pass
01/29	F8	194	pho2∆	7734	381212.5	1043	875.5	1473.7499999999998	1231.6	pass
01/29	F10	443	pho2∆	7640	376466.5	1153.5	1102	1604.05	1587.7	pass
01/29	F11	443	pho2∆	4370	453386	1705	1689	1532.6499999999999	1765.8	pass
01/29	F12	443	pho2∆	8001	373837	1034.5	791	1445.95	1145.2	pass
01/29	G1	194	PHO2	7777	403962	1105.5	17838	1441.3500000000001	24514.2	pass
01/29	G2	216	PHO2	7912	353891.5	687.5	1109.5	1200.7499999999998	1686.4	pass
01/29	G3	216	PHO2	8050	344851.5	526.5	975	992.6499999999999	1520.7	pass
01/29	G4	216	PHO2	7920	340522	554.5	1266.5	1047.55	1961	pass
01/29	G5	194	PHO2	7864	408873.5	1203.5	19582.5	1565.2499999999998	26322.5	pass
01/29	G6	188	PHO2	7608	353281.5	628.5	11689	1106.1499999999999	18452.3	pass
01/29	G7	188	PHO2	6013	362251	726.5	11825	1172.05	18063.4	pass
01/29	G8	188	PHO2	7602	365412	713.5	12301	1192.05	18860.7	pass
01/29	G9	194	PHO2	7726	397711	963.5	17912.5	1289.45	24780.7	pass
01/29	G10	444	PHO2	7705	359139	1841.5	2265	3068.75	3595.3	pass
01/29	G11	444	PHO2	7859	355479	1365.5	1519	2360.05	2416.7	pass
01/29	G12	444	PHO2	8081	348323	874.5	988	1579.55	1572.5	pass
01/29	H2	216	pho2∆	7861	340502	1009.5	1813	2013.55	3398.3	pass
01/29	H3	216	pho2∆	8192	344009.5	915.5	1838	1750.05	3345.7	pass
01/29	H4	216	pho2∆	7780	340609	1639.5	3457.5	2988.75	6031.1	pass
01/29	H5	NA	pho2∆	7938	358445.5	-23.5	450	69.64999999999998	717.8	pass
01/29	H6	188	pho2∆	7605	339479	574.5	10352	1083.45	16893.8	pass
01/29	H7	188	pho2∆	7691	352321	681.5	10062	1149.05	15786.7	pass
01/29	H8	188	pho2∆	7835	339621	361.5	8304	747.45	13597.8	pass
